X.locale,Address.AddressLine1,Address.AddressLine2,Address.City,Address.CountryName,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.PostalCode,Address.Subdivision,AlternateIdentifier.ID,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Market,Name,OperatingHours..timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,FaxNumber,BeginTime.MF,Is24Hours.MF,IsOpen.MF,Summary.MF,ThruTime.MF,BeginTime.Sat,Is24Hours.Sat,IsOpen.Sat,Summary.Sat,ThruTime.Sat,BeginTime.Sun,Is24Hours.Sun,IsOpen.Sun,Summary.Sun,ThruTime.Sun,AllCapability
en-US,3700 Bradfordville Rd,,Tallahassee,United States,Leon,"3700 Bradfordville Rd, Tallahassee, FL 32309-1943",NEC Thomasville & Bradfrdville,30.561288,-84.21554,32309-1943,FL,T1973,1973,TRUE,2009-07-09T12:00:00,2005-07-20T12:00:00,SFL,Tallahassee North,12-hour,348,393,300,,EST,Eastern Std Time,UTC,-5,STR,(850) 894-3213,(850) 907-2703,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,853 Harbor Blvd,,Destin,United States,Okaloosa,"853 Harbor Blvd, Destin, FL 32541-2709",NEC Hwy 98 & Main St,30.390741,-86.480935,32541-2709,FL,T2085,2085,TRUE,2012-03-22T12:00:00,2005-10-05T12:00:00,SFL,Destin,12-hour,348,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 650-7525,(850) 460-3185,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,4727 Highway 90,,Pace,United States,Santa Rosa,"4727 Highway 90, Pace, FL 32571-1403",SEC US 90 & Watkins Rd,30.601174,-87.126274,32571-1403,FL,T2279,2279,TRUE,2012-10-11T12:00:00,2007-07-25T12:00:00,SFL,Pace,12-hour,359,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 995-7820,(850) 995-7830,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']"
en-US,250 E Miracle Strip Pkwy,,Mary Esther,United States,Okaloosa,"250 E Miracle Strip Pkwy, Mary Esther, FL 32569-1924",NWC Mary Esther Cutoff & US 98,30.410554,-86.658874,32569-1924,FL,T0740,740,TRUE,2013-06-27T12:00:00,1995-10-04T12:00:00,SFL,Mary Esther,12-hour,348,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 243-4188,(850) 659-3286,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,15555 Starfish St,,Panama City Beach,United States,Bay,"15555 Starfish St, Panama City Beach, FL 32413-2457",SWC US 98 & Powell Adams Rd,30.219781,-85.868686,32413-2457,FL,T2208,2208,TRUE,2012-03-22T12:00:00,2006-10-04T12:00:00,SFL,Pier Park,12-hour,348,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 236-3720,(850) 636-6520,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,2120 Apalachee Pkwy,,Tallahassee,United States,Leon,"2120 Apalachee Pkwy, Tallahassee, FL 32301-4819",NWC Apalachee & Paul Russell,30.43252,-84.244336,32301-4819,FL,T0844,844,TRUE,2012-03-22T12:00:00,1993-10-06T12:00:00,SFL,Tallahassee,12-hour,348,393,300,,EST,Eastern Std Time,UTC,-5,STR,(850) 671-2041,(850) 273-7217,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']"
en-US,2340 Highway 77,,Panama City,United States,Bay,"2340 Highway 77, Panama City, FL 32405-4404",NEC 23rd St & Cove Blvd,30.19123,-85.649157,32405-4404,FL,T0811,811,TRUE,2012-03-22T12:00:00,1992-07-22T12:00:00,SFL,Panama City,12-hour,348,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 785-8966,(850) 532-6578,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Wine & Beer Available']"
en-US,1749 E Nine Mile Rd,,Pensacola,United States,Escambia,"1749 E Nine Mile Rd, Pensacola, FL 32514-5729",SWC University Pkwy & 9 Mile Rd,30.530082,-87.223828,32514-5729,FL,T1273,1273,TRUE,2012-10-11T12:00:00,2000-07-19T12:00:00,BTC,Pensacola NE,12-hour,359,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 473-8647,(850) 466-4633,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,4711 Bayou Blvd,,Pensacola,United States,Escambia,"4711 Bayou Blvd, Pensacola, FL 32503-2607",SWC Bayou Blvd & Askew Dr,30.468992,-87.208593,32503-2607,FL,T0686,686,TRUE,2012-06-21T12:00:00,1992-03-11T12:00:00,SFL,Pensacola,12-hour,359,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 494-9070,(850) 466-4685,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']"
en-US,2950 S Blue Angel Pkwy,,Pensacola,United States,Escambia,"2950 S Blue Angel Pkwy, Pensacola, FL 32506-6905",NEC Blue Angel Pkwy & Sorrento Rd,30.363162,-87.358086,32506-6905,FL,T2445,2445,TRUE,,2009-03-04T12:00:00,SFL,Pensacola West,12-hour,359,393,300,,CST,Central Std Time,UTC,-6,STR,(850) 454-3000,(850) 454-3010,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,08:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']"
